Country,Model,MAE,RMSE,R²,Dir.Accuracy (%)
UK,OLS,0.6739374955702435,0.953179499701456,0.8799000944118479,61.038961038961034
UK,Ridge,0.4906886222946449,0.6625985716991628,0.9419644278690311,59.74025974025974
UK,Lasso,0.47373891368989535,0.6454816990455448,0.944924157868424,57.14285714285714
UK,Random Forest,0.9343858974358977,1.378819918282037,0.7486908064359382,55.84415584415584
UK,XGBoost,0.9741361306875179,1.48813616583984,0.7072623230048488,38.961038961038966
US,OLS,1.4912538849320198,2.6066508918741915,-0.21084339795277662,58.44155844155844
US,Ridge,1.0217902492438677,1.5547062002102785,0.5692563349190762,55.84415584415584
US,Lasso,0.9482115634924384,1.3409883988283342,0.6795411430021046,50.649350649350644
US,Random Forest,0.8460087587735043,1.2257000950539276,0.7322739210369764,59.74025974025974
US,XGBoost,0.8281554383761579,1.177894580552731,0.7527506917735383,51.94805194805194
