Model,MAE,RMSE,R²,Dir.Accuracy (%)
XGBoost,0.7662871202414797,1.1404919100301674,0.9999332204952857,81.25
Random Forest,13.149544577232623,33.19495618968353,0.9434278120838394,78.125
Ridge,34.47598765530695,68.00489339539106,0.762568080256511,53.90625
Lasso,34.653197620841674,67.99093654714146,0.7626655279858536,52.34375
OLS,34.68532574684564,67.99081186776962,0.7626663984161568,52.34375
