Model,MAE,RMSE,R²,Dir.Accuracy (%),Num Folds
XGBoost,60.68831629963855,129.2094559541476,0.37901201047933053,73.49397590361446,7
Random Forest,66.13390433260005,136.21955069487598,0.30980232524218587,75.90361445783132,7
Ridge,90.80553118941461,150.57110807244038,0.15670816035141455,67.46987951807229,7
Lasso,125.09697918821327,212.47608134338836,-0.6792474643405346,71.08433734939759,7
OLS,128.4870942631344,223.52081947013573,-0.8583630717617863,71.08433734939759,7
